xy_axis1_nm,xy_axis2_nm,|E/E0|^2
5.250000000000000000e+01,-1.296093750000000000e+02,5.578805250239425861e-01
5.414062500000000000e+01,-1.296093750000000000e+02,5.700727437615333848e-01
5.578125000000000000e+01,-1.296093750000000000e+02,5.820113355509959341e-01
5.742187500000000000e+01,-1.296093750000000000e+02,5.936739985972188105e-01
5.906250000000000000e+01,-1.296093750000000000e+02,6.050407235242183379e-01
6.070312500000000000e+01,-1.296093750000000000e+02,6.160937619900022089e-01
6.234375000000000000e+01,-1.296093750000000000e+02,6.268175813586790435e-01
6.398437500000000000e+01,-1.296093750000000000e+02,6.371988069980325520e-01
6.562500000000000000e+01,-1.296093750000000000e+02,6.472261537658658970e-01
6.726562500000000000e+01,-1.296093750000000000e+02,6.568903482223172885e-01
6.890625000000000000e+01,-1.296093750000000000e+02,6.661840430610143082e-01
7.054687500000000000e+01,-1.296093750000000000e+02,6.751017251920424789e-01
7.218750000000000000e+01,-1.296093750000000000e+02,6.836396188371942628e-01
7.382812500000000000e+01,-1.296093750000000000e+02,6.917955849153170078e-01
7.546875000000000000e+01,-1.296093750000000000e+02,6.995690179054658842e-01
7.710937500000000000e+01,-1.296093750000000000e+02,7.069607412801907076e-01
7.875000000000000000e+01,-1.296093750000000000e+02,7.139729025027989895e-01
8.039062500000000000e+01,-1.296093750000000000e+02,7.206088684827423041e-01
8.203125000000000000e+01,-1.296093750000000000e+02,7.268731222839671657e-01
8.367187500000000000e+01,-1.296093750000000000e+02,7.327711617836368818e-01
8.531250000000000000e+01,-1.296093750000000000e+02,7.383094008842003841e-01
8.695312500000000000e+01,-1.296093750000000000e+02,7.434950737913907926e-01
8.859375000000000000e+01,-1.296093750000000000e+02,7.483361427850965253e-01
9.023437500000000000e+01,-1.296093750000000000e+02,7.528412098297827537e-01
9.187500000000000000e+01,-1.296093750000000000e+02,7.570194322966405931e-01
9.351562500000000000e+01,-1.296093750000000000e+02,7.608804430011789632e-01
9.515625000000000000e+01,-1.296093750000000000e+02,7.644342746976453551e-01
9.679687500000000000e+01,-1.296093750000000000e+02,7.676912891155227570e-01
9.843750000000000000e+01,-1.296093750000000000e+02,7.706621105732337496e-01
1.000781250000000000e+02,-1.296093750000000000e+02,7.733575641600242134e-01
1.017187500000000000e+02,-1.296093750000000000e+02,7.757886184384433781e-01
1.033593750000000000e+02,-1.296093750000000000e+02,7.779663325867016699e-01
1.050000000000000000e+02,-1.296093750000000000e+02,7.799018078720605374e-01
1.066406250000000000e+02,-1.296093750000000000e+02,7.816061433230242494e-01
1.082812500000000000e+02,-1.296093750000000000e+02,7.830903954490188168e-01
